name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jaipur,India",2017-06-18,100.4,84.2,93.6,104.7,87.2,97.3,66.6,42.3,0,0,0,,,,,16.1,279.3,1000.8,50.4,2.1,315.4,27.3,10,,2017-06-18T05:32:56,2017-06-18T19:22:54,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-19,102.3,88.8,95.1,107.6,92.1,99.1,66.6,40.2,0,0,0,,,,,17.2,268,999.1,38.4,2.6,325.4,28.2,10,,2017-06-19T05:33:06,2017-06-19T19:23:09,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-20,105,84.3,93.4,108.4,88.6,97.2,66.9,43.3,0,0,0,,,,,16.1,277.3,999.6,38.3,2.3,326.2,28.1,10,,2017-06-20T05:33:18,2017-06-20T19:23:24,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-21,96.8,78.8,90.1,98.3,78.8,91.6,64.2,43.6,0,0,0,,,,27.7,16.1,311,1000.3,37.3,2.5,321.2,27.7,10,,2017-06-21T05:33:30,2017-06-21T19:23:37,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-06-22,91.4,73,84.3,93.2,73,86.2,66.8,57.6,0.031,100,4.17,rain,,,,11.4,280.1,1002.6,48.1,2.3,156.5,13.6,7,,2017-06-22T05:33:43,2017-06-22T19:23:49,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-23,95,79.8,87.7,99.2,79.8,92.1,69.3,55.6,0,0,0,,,,,10.3,246.6,1001.9,41.4,2.5,252.8,21.7,8,,2017-06-23T05:33:58,2017-06-23T19:24:00,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-24,100.4,82.4,92,105,87.2,96.7,68.5,48.4,0,0,0,,,,,8.1,234.6,999.3,39.7,2.6,333.5,29,10,,2017-06-24T05:34:13,2017-06-24T19:24:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-06-25,104,86.4,95.5,108.5,91.9,102,69.5,45,0.008,100,4.17,rain,,,,9.2,295.4,998.1,36.8,2.7,305.3,26.5,10,,2017-06-25T05:34:29,2017-06-25T19:24:18,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-26,102.2,85.7,92.9,118.1,91,101.9,72.5,52.7,0.472,100,4.17,rain,,,,13.3,63.7,999.2,39.6,2.4,303.3,26.4,10,,2017-06-26T05:34:46,2017-06-26T19:24:26,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-27,100.4,80.6,88.4,112.2,86.2,97.5,74.6,66,0,0,0,,,,,20.8,103.5,999.9,47.5,2.3,252.5,21.8,9,,2017-06-27T05:35:04,2017-06-27T19:24:32,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-28,89.6,78.4,83,102.6,78.4,89.5,76.6,81.9,0.669,100,12.5,rain,,,,12.8,127.8,1000.6,60.2,1.7,213.6,18.6,7,,2017-06-28T05:35:23,2017-06-28T19:24:38,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-29,89.6,76.2,81.3,102.6,76.2,87.5,77.4,88.6,0.355,100,12.5,rain,,,,8.1,142.4,1000.5,70.1,1.8,218.6,19,7,,2017-06-29T05:35:43,2017-06-29T19:24:42,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VIJP,remote,42348099999"
"Jaipur,India",2017-06-30,94.6,79.8,86,103,79.8,94.3,76.4,75.9,0,0,0,,,,,12.8,209.4,997.9,61.1,2.3,263,22.8,8,,2017-06-30T05:36:03,2017-06-30T19:24:44,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-07-01,91.4,80.6,84.8,104.4,86.2,94.7,77,78.3,0,0,0,,,,,9.2,237,997.4,60.5,2.3,255.4,22.1,8,,2017-07-01T05:36:24,2017-07-01T19:24:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
"Jaipur,India",2017-07-02,93.3,80.4,85.3,105.1,86.2,95.1,76.7,76.4,0,0,0,,,,,13.9,160.4,998.1,56.9,2.3,273.1,23.7,9,,2017-07-02T05:36:46,2017-07-02T19:24:46,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
"Jaipur,India",2017-07-03,98.3,80.6,87.4,106,87.1,97.7,76.1,70.5,0.008,100,4.17,rain,,,,12.8,295.6,999.5,54.3,2.5,257.2,22.4,8,,2017-07-03T05:37:09,2017-07-03T19:24:45,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
